"","n=100, M=1000","n=100, M=10000","n=100, M=50000","n=1000, M=1000","n=1000, M=10000","n=1000, M=50000","n=5000, M=1000","n=5000, M=10000","n=5000, M=50000"
"mean at t=0.5",1.01531973249124,0.993371644089157,0.997934283955482,0.985504689945207,0.999438191665835,0.999876793907202,1.0078115387354,0.988077090523689,0.998216585123373
"mean at t=1",1.02035963759102,0.99972534261771,0.993275934147197,0.954969096163428,1.00984918108752,0.998474637767892,0.990691467295267,0.980889985240576,0.990292002589055
"variance at t=0.5",0.53008138293687,0.506741021152902,0.500422585823234,0.463624525299653,0.51375355597349,0.501046958690819,0.522193518947458,0.493534373564329,0.501805766988085
"variance at t=1",1.03735353695191,1.01817500062233,1.00026898210279,0.9419732833368,1.0204137780713,1.00420557222558,1.04808513917052,0.979949618838306,1.01255984147371
